Epoch: 0 | Train Loss: 0.0651592593336 | Test Loss: 0.0574980074286 | Train Acc: 23.054 | Test Acc: 32.98
Epoch: 1 | Train Loss: 0.0531870256305 | Test Loss: 0.04992953614 | Train Acc: 38.18 | Test Acc: 41.41
Epoch: 2 | Train Loss: 0.0472573695552 | Test Loss: 0.044793085897 | Train Acc: 45.138 | Test Acc: 48.15
Epoch: 3 | Train Loss: 0.0439024395943 | Test Loss: 0.0429183918357 | Train Acc: 49.106 | Test Acc: 50.31
Epoch: 4 | Train Loss: 0.0414189003456 | Test Loss: 0.0403194104433 | Train Acc: 52.426 | Test Acc: 53.83
Epoch: 5 | Train Loss: 0.0392295957863 | Test Loss: 0.0401137742102 | Train Acc: 55.06 | Test Acc: 55.19
Epoch: 6 | Train Loss: 0.0373289341825 | Test Loss: 0.0376048039138 | Train Acc: 57.372 | Test Acc: 57.0
Epoch: 7 | Train Loss: 0.035724092291 | Test Loss: 0.036134261477 | Train Acc: 59.346 | Test Acc: 59.44
Epoch: 8 | Train Loss: 0.034241514765 | Test Loss: 0.0358509961069 | Train Acc: 61.182 | Test Acc: 60.05
Epoch: 9 | Train Loss: 0.0328344717938 | Test Loss: 0.0361444617987 | Train Acc: 62.946 | Test Acc: 59.12
Epoch: 10 | Train Loss: 0.0314935120153 | Test Loss: 0.0353337930381 | Train Acc: 64.478 | Test Acc: 60.44
Epoch: 11 | Train Loss: 0.0302546806347 | Test Loss: 0.0339383332193 | Train Acc: 65.88 | Test Acc: 61.6
Epoch: 12 | Train Loss: 0.0290811853141 | Test Loss: 0.0336538512588 | Train Acc: 67.05 | Test Acc: 62.38
Epoch: 13 | Train Loss: 0.0279804616886 | Test Loss: 0.0344497103214 | Train Acc: 68.474 | Test Acc: 62.24
Epoch: 14 | Train Loss: 0.0268564142013 | Test Loss: 0.0338654378116 | Train Acc: 69.562 | Test Acc: 62.42
Epoch: 15 | Train Loss: 0.0257854361379 | Test Loss: 0.0334857127488 | Train Acc: 70.648 | Test Acc: 62.74
Epoch: 16 | Train Loss: 0.0249277714169 | Test Loss: 0.0360873160064 | Train Acc: 71.484 | Test Acc: 60.13
Epoch: 17 | Train Loss: 0.0238736213827 | Test Loss: 0.0333206168145 | Train Acc: 72.912 | Test Acc: 63.79
Epoch: 18 | Train Loss: 0.0230008366126 | Test Loss: 0.0327169340491 | Train Acc: 73.86 | Test Acc: 63.87
Epoch: 19 | Train Loss: 0.022264526763 | Test Loss: 0.0333413767695 | Train Acc: 74.652 | Test Acc: 64.25
Epoch: 20 | Train Loss: 0.0212828816971 | Test Loss: 0.0344857329398 | Train Acc: 75.644 | Test Acc: 63.13
Epoch: 21 | Train Loss: 0.0203786407128 | Test Loss: 0.0343884574234 | Train Acc: 76.792 | Test Acc: 63.78
Epoch: 22 | Train Loss: 0.0197944103497 | Test Loss: 0.0345000700593 | Train Acc: 77.572 | Test Acc: 64.33
Epoch: 23 | Train Loss: 0.018968111755 | Test Loss: 0.0358280082464 | Train Acc: 78.306 | Test Acc: 63.2
Epoch: 24 | Train Loss: 0.0182864598405 | Test Loss: 0.0369852297485 | Train Acc: 79.278 | Test Acc: 62.9
Epoch: 25 | Train Loss: 0.0176491678643 | Test Loss: 0.0354980081379 | Train Acc: 80.022 | Test Acc: 63.83
Epoch: 26 | Train Loss: 0.0169905304089 | Test Loss: 0.0359286517262 | Train Acc: 80.51 | Test Acc: 64.21
Epoch: 27 | Train Loss: 0.0163367017514 | Test Loss: 0.036766737479 | Train Acc: 81.342 | Test Acc: 63.33
Epoch: 28 | Train Loss: 0.0157690104839 | Test Loss: 0.0374923344046 | Train Acc: 82.142 | Test Acc: 63.58
Epoch: 29 | Train Loss: 0.0150774526106 | Test Loss: 0.0376234442711 | Train Acc: 82.83 | Test Acc: 63.4
Epoch: 30 | Train Loss: 0.0144238711281 | Test Loss: 0.0406356278419 | Train Acc: 83.39 | Test Acc: 61.62
