Epoch: 0 | Train Loss: 0.0571958413744 | Test Loss: 0.0486025832057 | Train Acc: 33.486 | Test Acc: 44.07
Epoch: 1 | Train Loss: 0.045319398216 | Test Loss: 0.0419914055049 | Train Acc: 47.572 | Test Acc: 51.3
Epoch: 2 | Train Loss: 0.0405218666279 | Test Loss: 0.038774092406 | Train Acc: 53.308 | Test Acc: 56.13
Epoch: 3 | Train Loss: 0.0369130342829 | Test Loss: 0.0386824664831 | Train Acc: 57.904 | Test Acc: 56.14
Epoch: 4 | Train Loss: 0.033903091529 | Test Loss: 0.0359031158268 | Train Acc: 61.474 | Test Acc: 59.84
Epoch: 5 | Train Loss: 0.0313788512611 | Test Loss: 0.0354023735285 | Train Acc: 64.526 | Test Acc: 61.02
Epoch: 6 | Train Loss: 0.0292621643949 | Test Loss: 0.0329353855908 | Train Acc: 66.816 | Test Acc: 63.48
Epoch: 7 | Train Loss: 0.0272917469746 | Test Loss: 0.0317994950235 | Train Acc: 69.11 | Test Acc: 64.77
Epoch: 8 | Train Loss: 0.025378064599 | Test Loss: 0.0313735714138 | Train Acc: 71.602 | Test Acc: 65.0
Epoch: 9 | Train Loss: 0.02364519364 | Test Loss: 0.0312652233005 | Train Acc: 73.376 | Test Acc: 65.87
Epoch: 10 | Train Loss: 0.0222518400854 | Test Loss: 0.0314627574563 | Train Acc: 74.856 | Test Acc: 66.46
Epoch: 11 | Train Loss: 0.020811618968 | Test Loss: 0.0315616808772 | Train Acc: 76.388 | Test Acc: 66.09
Epoch: 12 | Train Loss: 0.019355953086 | Test Loss: 0.0319239345759 | Train Acc: 78.122 | Test Acc: 66.58
Epoch: 13 | Train Loss: 0.0179759555307 | Test Loss: 0.0324212976098 | Train Acc: 79.618 | Test Acc: 66.58
Epoch: 14 | Train Loss: 0.0169832497147 | Test Loss: 0.0331524392337 | Train Acc: 80.678 | Test Acc: 65.66
Epoch: 15 | Train Loss: 0.0157710542995 | Test Loss: 0.0342389466643 | Train Acc: 82.11 | Test Acc: 66.4
Epoch: 16 | Train Loss: 0.0146123887369 | Test Loss: 0.0343133437246 | Train Acc: 83.352 | Test Acc: 66.8
Epoch: 17 | Train Loss: 0.0137505962445 | Test Loss: 0.036600636971 | Train Acc: 84.486 | Test Acc: 66.63
Epoch: 18 | Train Loss: 0.0126841041951 | Test Loss: 0.0378904643506 | Train Acc: 85.606 | Test Acc: 65.43
Epoch: 19 | Train Loss: 0.0118746422392 | Test Loss: 0.0410225807607 | Train Acc: 86.37 | Test Acc: 64.29
Epoch: 20 | Train Loss: 0.0112863077074 | Test Loss: 0.0396126419663 | Train Acc: 87.142 | Test Acc: 65.35
Epoch: 21 | Train Loss: 0.0105056160752 | Test Loss: 0.0387403965354 | Train Acc: 87.958 | Test Acc: 66.2
Epoch: 22 | Train Loss: 0.00993122833394 | Test Loss: 0.0411248953819 | Train Acc: 88.718 | Test Acc: 66.06
Epoch: 23 | Train Loss: 0.00935204569906 | Test Loss: 0.0438001107574 | Train Acc: 89.454 | Test Acc: 65.13
Epoch: 24 | Train Loss: 0.00875846236147 | Test Loss: 0.0430966879964 | Train Acc: 90.202 | Test Acc: 65.75
Epoch: 25 | Train Loss: 0.00825703646243 | Test Loss: 0.0448154036373 | Train Acc: 90.704 | Test Acc: 64.94
Epoch: 26 | Train Loss: 0.00817665682323 | Test Loss: 0.0444946984529 | Train Acc: 90.732 | Test Acc: 65.44
Epoch: 27 | Train Loss: 0.00739459769897 | Test Loss: 0.0431945569336 | Train Acc: 91.636 | Test Acc: 65.98
Epoch: 28 | Train Loss: 0.00712986020003 | Test Loss: 0.0461615890443 | Train Acc: 92.096 | Test Acc: 64.49
Epoch: 29 | Train Loss: 0.0068947521463 | Test Loss: 0.0477261627287 | Train Acc: 92.254 | Test Acc: 64.55
Epoch: 30 | Train Loss: 0.00668990907993 | Test Loss: 0.0451306630075 | Train Acc: 92.428 | Test Acc: 65.26
Epoch: 31 | Train Loss: 0.00611086436473 | Test Loss: 0.0460073623776 | Train Acc: 93.156 | Test Acc: 66.12
Epoch: 32 | Train Loss: 0.00605005023003 | Test Loss: 0.0478189358979 | Train Acc: 93.274 | Test Acc: 65.85
Epoch: 33 | Train Loss: 0.0057962609534 | Test Loss: 0.0490853865027 | Train Acc: 93.578 | Test Acc: 66.17
Epoch: 34 | Train Loss: 0.00558084447496 | Test Loss: 0.0470351725459 | Train Acc: 93.634 | Test Acc: 66.27
Epoch: 35 | Train Loss: 0.00540378559208 | Test Loss: 0.0506804196835 | Train Acc: 93.966 | Test Acc: 65.26
Epoch: 36 | Train Loss: 0.00524847655198 | Test Loss: 0.0494064301372 | Train Acc: 94.164 | Test Acc: 64.93
Epoch: 37 | Train Loss: 0.00483276544274 | Test Loss: 0.0497036816746 | Train Acc: 94.792 | Test Acc: 65.46
Epoch: 38 | Train Loss: 0.00490316632889 | Test Loss: 0.0494723355651 | Train Acc: 94.54 | Test Acc: 65.91
Epoch: 39 | Train Loss: 0.004777027443 | Test Loss: 0.0493975699425 | Train Acc: 94.752 | Test Acc: 65.33
Epoch: 40 | Train Loss: 0.00469545520857 | Test Loss: 0.0510508725971 | Train Acc: 94.796 | Test Acc: 65.49
Epoch: 41 | Train Loss: 0.00446242242461 | Test Loss: 0.0524429435402 | Train Acc: 95.086 | Test Acc: 65.55
