Epoch: 0 | Train Loss: 0.0248001431683 | Test Loss: 0.00951337719783 | Train Acc: 73.315 | Test Acc: 90.8
Epoch: 1 | Train Loss: 0.00818007899468 | Test Loss: 0.00654675976653 | Train Acc: 92.1866666667 | Test Acc: 93.58
Epoch: 2 | Train Loss: 0.0064359700793 | Test Loss: 0.00502190571437 | Train Acc: 93.9383333333 | Test Acc: 95.2
Epoch: 3 | Train Loss: 0.00556133922924 | Test Loss: 0.00488240364189 | Train Acc: 94.83 | Test Acc: 95.59
Epoch: 4 | Train Loss: 0.00499481430024 | Test Loss: 0.00447456165496 | Train Acc: 95.3416666667 | Test Acc: 96.04
Epoch: 5 | Train Loss: 0.00467771657486 | Test Loss: 0.00428830866819 | Train Acc: 95.695 | Test Acc: 96.08
Epoch: 6 | Train Loss: 0.00437353568153 | Test Loss: 0.00416737247857 | Train Acc: 96.0533333333 | Test Acc: 96.29
Epoch: 7 | Train Loss: 0.00426743786547 | Test Loss: 0.00372318308956 | Train Acc: 96.1866666667 | Test Acc: 96.51
Epoch: 8 | Train Loss: 0.00397633509311 | Test Loss: 0.0042409135747 | Train Acc: 96.4533333333 | Test Acc: 96.17
Epoch: 9 | Train Loss: 0.00373343765345 | Test Loss: 0.00348403884831 | Train Acc: 96.645 | Test Acc: 96.76
Epoch: 10 | Train Loss: 0.00363785848156 | Test Loss: 0.00323767555174 | Train Acc: 96.66 | Test Acc: 96.97
Epoch: 11 | Train Loss: 0.00353683176257 | Test Loss: 0.00347060315665 | Train Acc: 96.685 | Test Acc: 96.65
Epoch: 12 | Train Loss: 0.00361136523674 | Test Loss: 0.00324991060463 | Train Acc: 96.6533333333 | Test Acc: 97.13
Epoch: 13 | Train Loss: 0.00333340071957 | Test Loss: 0.00280613831285 | Train Acc: 96.8666666667 | Test Acc: 97.32
Epoch: 14 | Train Loss: 0.00318658159355 | Test Loss: 0.00308177628304 | Train Acc: 97.14 | Test Acc: 97.29
Epoch: 15 | Train Loss: 0.00324381775091 | Test Loss: 0.00295773041161 | Train Acc: 97.045 | Test Acc: 97.39
Epoch: 16 | Train Loss: 0.00319260929875 | Test Loss: 0.00316105184502 | Train Acc: 97.11 | Test Acc: 96.99
Epoch: 17 | Train Loss: 0.00311923980664 | Test Loss: 0.00296651614199 | Train Acc: 97.1183333333 | Test Acc: 97.24
Epoch: 18 | Train Loss: 0.00305279576333 | Test Loss: 0.00301803731032 | Train Acc: 97.2383333333 | Test Acc: 97.23
Epoch: 19 | Train Loss: 0.00317143458943 | Test Loss: 0.00295359396321 | Train Acc: 97.26 | Test Acc: 97.15
Epoch: 20 | Train Loss: 0.00297951501118 | Test Loss: 0.00246491130603 | Train Acc: 97.285 | Test Acc: 97.69
Epoch: 21 | Train Loss: 0.00297257441692 | Test Loss: 0.00291915779077 | Train Acc: 97.3083333333 | Test Acc: 97.37
Epoch: 22 | Train Loss: 0.00295464962154 | Test Loss: 0.00275267189405 | Train Acc: 97.2683333333 | Test Acc: 97.43
Epoch: 23 | Train Loss: 0.00289234068635 | Test Loss: 0.00316065475744 | Train Acc: 97.2266666667 | Test Acc: 97.26
Epoch: 24 | Train Loss: 0.00289132827374 | Test Loss: 0.00281747361219 | Train Acc: 97.38 | Test Acc: 97.53
