Epoch: 0 | Train Loss: 0.0548913671517 | Test Loss: 0.0467121904612 | Train Acc: 35.108 | Test Acc: 45.98
Epoch: 1 | Train Loss: 0.0440944357812 | Test Loss: 0.0418520902753 | Train Acc: 48.674 | Test Acc: 52.2
Epoch: 2 | Train Loss: 0.0395542608678 | Test Loss: 0.0386094757795 | Train Acc: 54.274 | Test Acc: 55.79
Epoch: 3 | Train Loss: 0.0365390066826 | Test Loss: 0.035454511112 | Train Acc: 57.942 | Test Acc: 59.58
Epoch: 4 | Train Loss: 0.0342020856833 | Test Loss: 0.0352563549399 | Train Acc: 61.02 | Test Acc: 59.96
Epoch: 5 | Train Loss: 0.0325699362361 | Test Loss: 0.0346135906756 | Train Acc: 63.152 | Test Acc: 60.29
Epoch: 6 | Train Loss: 0.0310917286104 | Test Loss: 0.0327185052335 | Train Acc: 64.982 | Test Acc: 62.77
Epoch: 7 | Train Loss: 0.0299035101384 | Test Loss: 0.0323848124683 | Train Acc: 66.054 | Test Acc: 64.03
Epoch: 8 | Train Loss: 0.0287421735793 | Test Loss: 0.0316994741678 | Train Acc: 67.342 | Test Acc: 64.92
Epoch: 9 | Train Loss: 0.028065738101 | Test Loss: 0.0302659536362 | Train Acc: 68.186 | Test Acc: 65.47
Epoch: 10 | Train Loss: 0.0273233464116 | Test Loss: 0.0336471257687 | Train Acc: 69.432 | Test Acc: 63.19
Epoch: 11 | Train Loss: 0.0266181685472 | Test Loss: 0.0313615225434 | Train Acc: 69.992 | Test Acc: 65.49
Epoch: 12 | Train Loss: 0.026184736318 | Test Loss: 0.0300404738098 | Train Acc: 70.484 | Test Acc: 67.05
Epoch: 13 | Train Loss: 0.0253419828165 | Test Loss: 0.0289755430311 | Train Acc: 71.45 | Test Acc: 68.08
Epoch: 14 | Train Loss: 0.0250488044822 | Test Loss: 0.0298895025194 | Train Acc: 71.92 | Test Acc: 67.22
Epoch: 15 | Train Loss: 0.0247647971559 | Test Loss: 0.0293819108546 | Train Acc: 71.868 | Test Acc: 67.99
Epoch: 16 | Train Loss: 0.0241327391315 | Test Loss: 0.0293520328999 | Train Acc: 72.74 | Test Acc: 67.44
